subject,set,pattern,complexity_rating,beauty_rating,rtime,trial,previous_complexity_rating,previous_beauty_rating,density,entropy,mean_entropy,H_2,H_mean,LSC,KC,intricacy_4,intricacy_8,local_asymm,Hasymm,Vasymm,quadtree,neighbourhood_size,tot_outertot,IC,num_active_rules
01tbfesn,4,199,36,73,11839,21,20,22,0.3555555555555555,0.9389320105807948,0.8456026020042108,3.7236680019534902,4.586085913736308,0.9028475402330592,274.14518930643715,33,25,0.0,0.0,0.0,71,5,outertot,1,5
01tbfesn,4,187,29,26,6272,22,36,73,0.3022222222222222,0.883990387745888,0.7837699352845733,3.4515636935486307,4.562543960197333,0.8413704185092865,253.87069416557165,38,22,0.0107084460747525,54.41176470588235,50.0,64,9,outertot,2,9
01tbfesn,4,198,44,58,9644,23,29,26,0.3733333333333333,0.953197172543056,0.8379048922969002,3.5065979873093074,4.579633446524941,0.9019717684130836,272.949191494817,69,10,0.0,0.0,0.0,74,5,outertot,1,5
01tbfesn,4,209,44,64,12810,24,44,58,0.5511111111111111,0.9924491812352424,0.9029247191363076,3.922067190932984,4.620726621047163,0.953330908764994,274.8171743376043,23,6,0.0,10.483870967741936,14.516129032258066,68,9,outertot,2,9
01tbfesn,4,214,34,27,7224,25,44,64,0.5333333333333333,0.9967916319816366,0.9030025591092202,3.9382821616787673,4.647891549300049,0.95883093454567,266.5413784649845,36,4,0.0066378011674894,46.66666666666666,40.833333333333336,67,9,outertot,2,8
01tbfesn,4,197,26,60,8206,26,34,27,0.6222222222222222,0.9564574047992596,0.891610347133333,3.6551166200572056,4.552494625724484,0.8918002201997098,263.807165948664,20,8,0.0,0.0,0.0,65,5,outertot,1,6
01tbfesn,4,176,30,56,11809,27,26,60,0.3777777777777777,0.9564574047992596,0.692505193975382,2.775608726706596,4.228155958405094,0.7150537192510016,191.91510272960596,3,3,0.0,0.0,0.0,41,5,outertot,1,7
01tbfesn,4,191,59,70,10846,28,30,56,0.5377777777777778,0.9958781583419282,0.917283847179266,3.4138521948808878,4.5187342294527415,0.8535767940323642,278.0920685264263,105,2,0.0,0.0,0.0,79,5,outertot,1,6
01tbfesn,4,207,54,67,10432,29,59,70,0.5733333333333334,0.9844268978000114,0.912797517179158,3.706647201881009,4.5391681470477785,0.9350777217795628,285.4012030350554,61,10,0.0,0.0,0.0,78,5,outertot,1,6
01tbfesn,4,179,50,65,10334,30,54,67,0.7511111111111111,0.809512300697415,0.791124095834849,2.9513820560439354,4.418810739798053,0.7743012042139716,271.94056204462936,54,18,0.0,0.0,0.0,66,5,outertot,1,6
01tbfesn,4,184,58,50,9217,31,50,65,0.64,0.9426831892554922,0.7677976853931001,3.273922721523471,4.475299741762212,0.826168069409778,255.47903603369727,20,14,0.0142142759428828,30.55555555555556,30.55555555555556,55,9,outertot,2,8
01tbfesn,4,164,23,16,14013,32,58,50,0.9244444444444444,0.3863219482188018,0.1477532149005924,0.9546189501622498,2.388818008729802,0.2727895511929964,126.79859165744692,11,11,0.0645609546209628,6.25,5.288461538461538,25,9,outertot,2,12
01tbfesn,4,169,28,16,7478,33,23,16,0.8666666666666667,0.5665095065529053,0.4246850294637976,1.896691997312824,4.027148762949244,0.4843600775222114,166.00359578767586,17,13,0.0140849124470159,10.256410256410255,13.333333333333334,39,9,outertot,2,8
01tbfesn,4,163,25,28,15065,34,28,16,0.0355555555555555,0.2215295581483614,0.2694311071805945,0.9685949014755872,3.685796497052564,0.229297083113367,126.11175889045565,9,9,0.0,0.0,0.0,17,5,outertot,1,4
01tbfesn,4,201,51,74,7305,35,25,28,0.6266666666666667,0.953197172543056,0.8853157151391787,3.665636165035629,4.58669340788368,0.9191755282784816,273.936316386596,53,2,0.0,0.0,0.0,68,5,outertot,1,6
01tbfesn,4,183,54,55,11191,36,51,74,0.6755555555555556,0.9091493030318536,0.7992268423123077,3.3446051849171754,4.502068297511633,0.8224144364805892,230.45149051560344,66,6,0.0,0.0,0.0,64,5,outertot,1,6
01tbfesn,4,167,33,30,7415,37,54,55,0.1111111111111111,0.5032583347756457,0.4132518604071754,1.7723707442083882,3.4064691485331364,0.4517804716582469,168.2650485546686,7,3,0.0101613928761186,72.0,96.0,24,9,outertot,3,3
01tbfesn,4,189,34,27,9408,38,33,30,0.4311111111111111,0.9862632103630308,0.8582524273780556,3.1533504170468247,4.455360970677473,0.8522330446428298,228.07218812073376,10,10,0.0075120977739162,49.48453608247423,32.98969072164948,53,9,outertot,3,6
01tbfesn,4,178,67,71,9117,39,34,27,0.2888888888888888,0.8672816222000259,0.8032340295678106,2.876829303608313,4.395501226239818,0.7730628966332717,260.0145007214542,66,34,0.0,0.0,0.0,77,5,outertot,1,6
01tbfesn,4,203,64,56,8639,40,67,71,0.4711111111111111,0.9975906044732844,0.9138275015199376,3.784694119859164,4.59661305230361,0.9285121115069684,276.8639213019577,25,2,0.0040310789726281,50.943396226415096,51.886792452830186,68,9,outertot,3,4
