patternname,patternnum,set,density,entropy,mean_entropy,H_2,H_mean,LSC,KC,intricacy_4,intricacy_8,local_asymm,Hasymm,Vasymm,quadtree,neighbourhood_size,tot_outertot,IC,num_active_rules
patterns/15by15/experiment/set1/SC0.957_symm0.00_KC260.7_5neigh_tot_code52_IC3_iter05.png,50,1,0.47555555555555556,0.9982752029076147,0.8875995010350607,3.9258087593070923,4.638295429588181,0.9567084540420839,260.67672848076637,28,13,0.0007772326582880795,47.66355140186916,51.4018691588785,70,5,tot,3,3
patterns/15by15/experiment/set1/SC0.960_symm0.00_KC278.0_9neigh_outertot_code3276_IC3_iter10.png,51,1,0.49333333333333335,0.999871756640849,0.9006693571320635,3.9433850442614404,4.6481392971192665,0.9597437290774593,278.04414768720045,31,13,0.0005669221324487439,40.54054054054054,46.846846846846844,72,9,outertot,3,6
patterns/15by15/experiment/set1/SC0.961_symm0.00_KC281.1_5neigh_outertot_code454_IC1_iter20.png,52,1,0.4444444444444444,0.9910760598382222,0.8920726817848396,3.9436631112792284,4.563354103225019,0.9610401725016806,281.075544861954,49,9,0.0,0.0,0.0,68,5,outertot,1,5
patterns/15by15/experiment/set1/SC0.962_symm0.00_KC277.8_9neigh_outertot_code3276_IC3_iter25.png,53,1,0.4711111111111111,0.9975906044732843,0.9021120726850875,3.9562681221623395,4.648057137533047,0.9622585112657973,277.8498818977005,43,8,0.0024187374500524994,54.71698113207547,56.60377358490566,73,9,outertot,3,6
patterns/15by15/experiment/set1/SC0.962_symm0.01_KC278.7_9neigh_outertot_code3276_IC3_iter35.png,54,1,0.4577777777777778,0.9948500379612877,0.90410694767453,3.966154308569232,4.6513915447362315,0.9622036396298351,278.72004916775757,30,8,0.004012444444975061,53.398058252427184,46.601941747572816,65,9,outertot,3,6
patterns/15by15/experiment/set2/SC0.245_symm0.00_KC149.4_5neigh_outertot_code454_IC1_iter05.png,55,2,0.04,0.24229218908241482,0.2982878427095325,1.0369319534265415,3.7384902658570316,0.24519363699843533,149.42523480348052,10,6,0.0,0.0,0.0,19,5,outertot,1,5
patterns/15by15/experiment/set2/SC0.263_symm0.00_KC136.3_9neigh_outertot_code256746_IC2_iter05.png,56,2,0.07555555555555556,0.38632194821880184,0.443271986027291,1.1032819037994077,3.6286580586685564,0.26347412575315304,136.34835715834942,2,2,0.0,11.76470588235294,17.647058823529413,15,9,outertot,2,12
patterns/15by15/experiment/set2/SC0.354_symm0.00_KC133.2_9neigh_outertot_code224_IC3_iter40.png,57,2,0.07555555555555556,0.38632194821880184,0.4203969987734108,1.422902935933459,3.867932396927323,0.3539985684497444,133.2391317570664,8,4,0.0,88.23529411764706,88.23529411764706,23,9,outertot,3,3
patterns/15by15/experiment/set2/SC0.406_symm0.04_KC165.2_9neigh_outertot_code224_IC3_iter25.png,58,2,0.10222222222222223,0.4760005489718201,0.3554946525081367,1.6161175887033061,3.142255076120281,0.4063601184239689,165.17871293364425,10,2,0.02540139377823042,91.30434782608695,100.0,20,9,outertot,3,3
patterns/15by15/experiment/set2/SC0.428_symm0.00_KC189.0_9neigh_outertot_code256746_IC2_iter10.png,59,2,0.19111111111111112,0.7037900402465797,0.6833134087925815,1.8616654093907659,4.086434642530086,0.42807632026556364,189.0356324662444,2,2,0.0,0.0,23.25581395348837,19,9,outertot,2,12
patterns/15by15/experiment/set2/SC0.500_symm0.00_KC154.4_5neigh_outertot_code478_IC1_iter05.png,60,2,0.14222222222222222,0.5900291548048615,0.6393073509742881,1.982193790826118,4.045811436756695,0.5000401541794279,154.38449971385614,3,3,0.0,0.0,0.0,25,5,outertot,1,7
patterns/15by15/experiment/set2/SC0.550_symm0.04_KC183.9_9neigh_outertot_code191044_IC2_iter40.png,61,2,0.8311111111111111,0.6551567045066179,0.4243618718456846,2.0999346517852815,4.094948551946446,0.5496798958393021,183.8733855779406,24,16,0.02533795648932645,13.368983957219251,14.973262032085561,43,9,outertot,2,8
patterns/15by15/experiment/set2/SC0.588_symm0.00_KC236.4_5neigh_outertot_code452_IC1_iter10.png,62,2,0.16,0.6343095546405662,0.6122780695954938,2.406596742846412,4.256448305601756,0.5879111190503411,236.40146990510618,41,13,0.0,0.0,0.0,46,5,outertot,1,4
patterns/15by15/experiment/set2/SC0.609_symm0.00_KC232.7_9neigh_outertot_code256746_IC2_iter15.png,63,2,0.40444444444444444,0.9734911299751577,0.7272272867444104,2.6211395999397986,4.307075654345213,0.6089742052483069,232.6764148961215,2,2,0.0,17.582417582417584,16.483516483516482,30,9,outertot,2,12
patterns/15by15/experiment/set2/SC0.687_symm0.00_KC191.2_5neigh_outertot_code493_IC1_iter15.png,64,2,0.8222222222222222,0.6751914401458716,0.6670803745958106,2.7014501956920274,4.369463724095436,0.6872991718991477,191.21243570096328,25,17,0.0,0.0,0.0,51,5,outertot,1,7
patterns/15by15/experiment/set2/SC0.699_symm0.00_KC237.4_9neigh_outertot_code291552_IC2_iter15.png,65,2,0.24,0.7950402793845223,0.7817807508657839,2.829851594297524,4.401399709862554,0.6987929945379571,237.37644463259306,8,2,0.0,33.33333333333333,40.74074074074074,34,9,outertot,2,8
patterns/15by15/experiment/set2/SC0.704_symm0.00_KC239.4_5neigh_outertot_code452_IC1_iter15.png,66,2,0.3244444444444444,0.9091493030318537,0.8503994134268618,2.7848153589181326,4.349784934092883,0.7035155703375063,239.4449861158693,97,18,0.0,0.0,0.0,76,5,outertot,1,4
patterns/15by15/experiment/set2/SC0.723_symm0.02_KC239.2_9neigh_outertot_code196623_IC3_iter20.png,67,2,0.4711111111111111,0.9975906044732843,0.7792196165657569,2.737496566599723,4.3413586669858315,0.722757076708555,239.17533245624713,5,5,0.010003194040987679,40.56603773584906,41.509433962264154,36,9,outertot,3,6
patterns/15by15/experiment/set2/SC0.728_symm0.00_KC240.9_5neigh_outertot_code485_IC1_iter25.png,68,2,0.8044444444444444,0.7129496499632537,0.7288542241999744,2.9708552518369493,4.4777790229975265,0.7275817539029507,240.8632447197154,29,21,0.0,0.0,0.0,53,5,outertot,1,6
patterns/15by15/experiment/set2/SC0.739_symm0.02_KC240.5_9neigh_outertot_code85507_IC2_iter10.png,69,2,0.2311111111111111,0.7799431968859698,0.6726748778330749,2.8687981548239527,4.428961082459807,0.7386545249788063,240.45080989317944,23,23,0.014371590119892003,38.46153846153847,42.30769230769231,52,9,outertot,2,7
patterns/15by15/experiment/set2/SC0.747_symm0.03_KC219.5_5neigh_tot_code24_IC3_iter10.png,70,2,0.27555555555555555,0.8493240339563619,0.745967524482604,2.8777093875131334,4.401393095040402,0.7468164651067759,219.50085886831425,7,5,0.017875101306051494,79.03225806451613,59.67741935483871,42,5,tot,3,2
patterns/15by15/experiment/set2/SC0.772_symm0.00_KC188.7_5neigh_outertot_code469_IC1_iter05.png,71,2,0.4666666666666667,0.9967916319816366,0.7417684436628688,2.8507857551878972,4.219759910361441,0.7722477118037013,188.73658868078292,14,3,0.0,0.0,0.0,41,5,outertot,1,6
patterns/15by15/experiment/set2/SC0.808_symm0.00_KC262.0_5neigh_outertot_code478_IC1_iter30.png,72,2,0.7333333333333333,0.8366407419411673,0.6941739830260388,3.327025991550053,4.4801481458371395,0.8080913511949199,261.9948598910113,37,13,0.0,0.0,0.0,59,5,outertot,1,7
patterns/15by15/experiment/set2/SC0.813_symm0.00_KC256.4_5neigh_outertot_code475_IC1_iter30.png,73,2,0.7155555555555555,0.8614362250994667,0.8292740104934471,3.3360084026528565,4.518881193638472,0.8127542397809266,256.4226511143882,65,10,0.0,0.0,0.0,65,5,outertot,1,7
patterns/15by15/experiment/set2/SC0.814_symm0.00_KC228.7_5neigh_outertot_code459_IC1_iter15.png,74,2,0.28888888888888886,0.8672816222000259,0.7952620294796858,3.2951707353504647,4.428433997576213,0.8141012498601132,228.73501467957263,50,18,0.0,0.0,0.0,66,5,outertot,1,6
patterns/15by15/experiment/set2/SC0.814_symm0.00_KC247.4_9neigh_outertot_code15822_IC1_iter40.png,75,2,0.6933333333333334,0.8892881527272397,0.7937058992847016,3.1955504957222334,4.49696474855762,0.8136108268410271,247.35612985378074,22,10,0.0,0.0,0.0,52,9,outertot,1,10
patterns/15by15/experiment/set2/SC0.819_symm0.00_KC198.0_5neigh_outertot_code493_IC1_iter20.png,76,2,0.7466666666666667,0.8165187119538281,0.7865801035653498,3.395380104345315,4.496706284635037,0.8191557006202447,198.03899130244122,34,6,0.0,0.0,0.0,59,5,outertot,1,7
patterns/15by15/experiment/set2/SC0.822_symm0.00_KC246.6_9neigh_outertot_code196623_IC3_iter30.png,77,2,0.4577777777777778,0.9948500379612877,0.8024484263348433,3.1797042644909776,4.491915304228811,0.8222377228608435,246.55579056882166,11,11,0.00198773578583028,44.66019417475729,40.77669902912621,42,9,outertot,3,6
patterns/15by15/experiment/set2/SC0.822_symm0.00_KC249.5_9neigh_outertot_code191044_IC1_iter35.png,78,2,0.6755555555555556,0.9091493030318537,0.691052753018853,3.175457463124156,4.458647784979945,0.8216522180825895,249.54367307418792,26,26,0.0,0.0,0.0,59,9,outertot,1,8
patterns/15by15/experiment/set2/SC0.829_symm0.01_KC252.6_9neigh_outertot_code196623_IC3_iter05.png,79,2,0.3688888888888889,0.9498151300105501,0.8434376863239224,3.1084759526744783,4.459332529390806,0.8288149720765595,252.63509339330253,9,9,0.006273109578347896,38.55421686746988,43.373493975903614,46,9,outertot,3,6
patterns/15by15/experiment/set2/SC0.830_symm0.03_KC258.6_9neigh_outertot_code85507_IC2_iter20.png,80,2,0.29333333333333333,0.8729882944709463,0.8149993189692996,3.293942371817974,4.545780915121721,0.8298597504508887,258.6095374288597,25,18,0.014466741456355375,60.60606060606061,40.909090909090914,56,9,outertot,2,7
patterns/15by15/experiment/set2/SC0.842_symm0.00_KC186.6_5neigh_outertot_code481_IC1_iter15.png,81,2,0.7155555555555555,0.8614362250994667,0.7695388545930617,3.27302541638387,4.400238525227706,0.8419356888238545,186.5501023414149,20,4,0.0,0.0,0.0,57,5,outertot,1,5
patterns/15by15/experiment/set2/SC0.844_symm0.02_KC249.0_9neigh_outertot_code191044_IC2_iter20.png,82,2,0.6,0.9709505944546686,0.744082070905436,3.328837552691623,4.490930102429987,0.8439862471063221,249.01992929102545,26,19,0.011094907067559695,40.0,27.40740740740741,58,9,outertot,2,8
patterns/15by15/experiment/set2/SC0.854_symm0.00_KC278.1_5neigh_outertot_code469_IC1_iter20.png,83,2,0.4622222222222222,0.9958781583419282,0.917283847179266,3.4138521948808873,4.5187342294527415,0.8535767940323642,278.0920685264263,105,2,0.0,0.0,0.0,79,5,outertot,1,6
patterns/15by15/experiment/set2/SC0.860_symm0.00_KC264.0_5neigh_outertot_code483_IC1_iter35.png,84,2,0.6266666666666667,0.9531971725430559,0.8712061542197586,3.43054221964126,4.516584022988952,0.8600089686593418,264.0329760310021,11,11,0.0,0.0,0.0,63,5,outertot,1,6
patterns/15by15/experiment/set2/SC0.872_symm0.00_KC280.8_5neigh_outertot_code483_IC1_iter15.png,85,2,0.5911111111111111,0.9759133517552441,0.9065409929266358,3.531242879360577,4.533012621433721,0.8724226590218597,280.80733471012735,9,9,0.0,0.0,0.0,65,5,outertot,1,6
patterns/15by15/experiment/set2/SC0.883_symm0.00_KC231.7_5neigh_outertot_code494_IC1_iter10.png,86,2,0.36,0.9426831892554922,0.8572984092234851,3.2836813184059213,4.489723966522646,0.8834223011347035,231.67875141105014,25,9,0.0,0.0,0.0,52,5,outertot,1,7
patterns/15by15/experiment/set2/SC0.886_symm0.00_KC250.1_5neigh_outertot_code461_IC1_iter30.png,87,2,0.64,0.9426831892554922,0.8617269654585243,3.4111587548935027,4.554278246393144,0.8860263195113143,250.1073046382446,66,11,0.0,0.0,0.0,71,5,outertot,1,6
patterns/15by15/experiment/set2/SC0.892_symm0.00_KC182.4_5neigh_outertot_code454_IC1_iter30.png,88,2,0.37333333333333335,0.9531971725430559,0.8556261202258368,3.6288052053187982,4.4897356224996905,0.8915013105558345,182.37300684907643,69,13,0.0,0.0,0.0,75,5,outertot,1,5
patterns/15by15/experiment/set2/SC0.899_symm0.00_KC260.5_5neigh_outertot_code459_IC1_iter35.png,89,2,0.36,0.9426831892554922,0.8434864279827935,3.2138053324450535,4.437533800504564,0.8985574480853493,260.45106136631455,54,34,0.0,0.0,0.0,79,5,outertot,1,6
patterns/15by15/experiment/set2/SC0.906_symm0.00_KC282.2_9neigh_outertot_code85507_IC2_iter05.png,90,2,0.47555555555555556,0.9982752029076147,0.8834735246160531,3.686301771302201,4.607717015111449,0.9057894342141499,282.1924922667806,17,9,0.0,7.476635514018691,19.626168224299064,62,9,outertot,2,7
patterns/15by15/experiment/set2/SC0.922_symm0.00_KC267.5_5neigh_outertot_code462_IC1_iter20.png,91,2,0.41333333333333333,0.9782176659354248,0.8560214300500414,3.5302411606985213,4.5626213640060085,0.9222893597368509,267.4845663625132,34,22,0.0,0.0,0.0,66,5,outertot,1,6
patterns/15by15/experiment/set2/SC0.922_symm0.00_KC273.5_5neigh_outertot_code481_IC1_iter25.png,92,2,0.6266666666666667,0.9531971725430559,0.8989706728962972,3.4664045430771466,4.3931689814181,0.9224590489690346,273.48080575918345,60,8,0.0,0.0,0.0,68,5,outertot,1,5
patterns/15by15/experiment/set2/SC0.925_symm0.00_KC249.5_9neigh_outertot_code191044_IC1_iter15.png,93,2,0.5333333333333333,0.9967916319816366,0.8677950988440494,3.7506548149797516,4.553730752424432,0.9251065817341695,249.52011186855472,46,19,0.0,0.0,0.0,68,9,outertot,1,8
patterns/15by15/experiment/set2/SC0.930_symm0.00_KC261.7_5neigh_outertot_code451_IC1_iter10.png,94,2,0.5511111111111111,0.9924491812352425,0.8996206570821752,3.8068920315031454,4.560063106785928,0.9300615705167506,261.70911576493523,65,2,0.0,0.0,0.0,72,5,outertot,1,5
patterns/15by15/experiment/set2/SC0.931_symm0.01_KC275.8_9neigh_outertot_code736_IC2_iter40.png,95,2,0.5422222222222223,0.9948500379612877,0.9100935054393486,3.771849977119592,4.602999794755511,0.9310315622882503,275.7975295877216,30,7,0.003224271007650964,41.80327868852459,31.967213114754102,70,9,outertot,2,4
patterns/15by15/experiment/set2/SC0.934_symm0.00_KC277.2_9neigh_outertot_code736_IC2_iter35.png,96,2,0.4888888888888889,0.9996437496778561,0.9096712352551235,3.783127977322758,4.572905654518156,0.9343968932509705,277.169205945614,20,2,0.0020078895485541037,54.54545454545454,0.0,67,9,outertot,2,4
